popularity,budget,revenue,original_title,director,runtime,genres,release_year,budget_adj,revenue_adj
12.037933,11000000,775398007,Star Wars,George Lucas,121,Adventure|Action|Science Fiction,1977,39575591.3582738,2789712242.27745
2.379469,14000000,185438673,The Spy Who Loved Me,Lewis Gilbert,125,Adventure|Action|Thriller,1977,50368934.4559849,667167740.424415
1.719385,1200000,71215869,The Rescuers,John Lounsbery|Wolfgang Reitherman|Art Stevens,78,Fantasy|Family|Animation|Adventure,1977,4317337.23908442,256219102.706214
1.179653,4000000,38251425,Annie Hall,Woody Allen,93,Comedy|Drama|Romance,1977,14391124.1302814,137620251.33378702
1.104997,10000000,0,Pete's Dragon,Don Chaffey,128,Fantasy|Animation|Comedy|Family,1977,35977810.32570349,0.0
1.104816,20000000,303788635,Close Encounters of the Third Kind,Steven Spielberg,135,Science Fiction|Drama,1977,71955620.65140699,1092964988.91343
1.048838,22000000,50750000,A Bridge Too Far,Richard Attenborough,175,Drama|History|War,1977,79151182.7165477,182587387.40294495
0.912502,0,0,The Many Adventures of Winnie the Pooh,John Lounsbery|Wolfgang Reitherman,74,Animation|Family,1977,0.0,0.0
0.905657,0,0,Herbie Goes To Monte Carlo,Vincent McEveety,105,Romance|Comedy|Family|Action|Adventure,1977,0.0,0.0
0.75125,3500000,16000000,Sinbad and the Eye of the Tiger,Sam Wanamaker,113,Action|Adventure|Family|Fantasy|Science Fiction,1977,12592233.613996198,57564496.5211256
0.622492,0,0,March or Die,Dick Richards,107,Action|Adventure|Drama|War,1977,0.0,0.0
0.602862,3500000,237113184,Saturday Night Fever,John Badham,118,Drama|Music,1977,12592233.613996198,853081315.967563
0.560826,3400000,31063038,High Anxiety,Mel Brooks,94,Comedy|Music,1977,12232455.5107391,111758008.930412
0.541642,0,126737428,Smokey and the Bandit,Hal Needham,96,Action|Adventure|Comedy,1977,0.0,455973514.57515
0.520725,0,0,Pumping Iron,George Butler|Robert Fiore,85,Documentary,1977,0.0,0.0
0.49548,5500000,26414658,The Gauntlet,Clint Eastwood,109,Drama|Action|Crime|Thriller,1977,19787795.6791369,95034155.5342327
0.474001,6000000,0,Cross of Iron,Sam Peckinpah,132,Drama|Action|History|War,1977,21586686.1954221,0.0
0.434509,0,0,"New York, New York",Martin Scorsese,155,Drama|Music|Romance,1977,0.0,0.0
0.407317,0,28000000,Slap Shot,George Roy Hill,123,Drama|Comedy,1977,0.0,100737868.911969
0.400457,900000,0,The Duellists,Ridley Scott,100,Drama|War,1977,3238002.92931331,0.0
0.398651,0,0,Julia,Fred Zinnemann,117,Drama,1977,0.0,0.0
0.391055,0,0,Audrey Rose,Robert Wise,113,Fantasy|Drama|Horror|Thriller,1977,0.0,0.0
0.375967,14000000,30749142,Exorcist II: The Heretic,John Boorman,118,Horror|Thriller|Fantasy,1977,50368934.4559849,110628679.855412
0.373131,6000000,30000000,Airport '77,Jerry Jameson,114,Action|Adventure|Drama|Thriller,1977,21586686.1954221,107933430.97711
0.346062,0,0,Jabberwocky,Terry Gilliam,105,Fantasy|Comedy,1977,0.0,0.0
0.331417,10000,7000000,Eraserhead,David Lynch,89,Science Fiction|Fantasy|Horror|Drama,1977,35977.8103257035,25184467.2279924
0.320214,0,0,Rolling Thunder,John Flynn,95,Action|Crime|Drama|Thriller,1977,0.0,0.0
0.318679,0,0,The Message,Moustapha Akkad,177,Adventure|Drama|Action|History,1977,0.0,0.0
0.312358,3000000,0,The Hobbit,"Jules Bass|Arthur Rankin, Jr.",77,Adventure|Animation|Family,1977,10793343.097711,0.0
0.304285,0,0,The Man in the Iron Mask,Mike Newell,100,History|Adventure,1977,0.0,0.0
0.280166,0,0,Black Sunday,John Frankenheimer,143,Action|Adventure|Drama|Thriller,1977,0.0,0.0
0.267177,0,0,Candleshoe,Norman Tokar,101,Family,1977,0.0,0.0
0.062898,0,0,The Serpent's Egg,Ingmar Bergman,120,Drama|Mystery,1977,0.0,0.0
0.241629,0,0,The White Buffalo,J. Lee Thompson,97,Western,1977,0.0,0.0
0.228797,6000000,14717854,Orca: The Killer Whale,Michael Anderson,92,Drama|Adventure|Horror,1977,21586686.1954221,52951615.9613396
0.219941,22000000,12000000,Sorcerer,William Friedkin,121,Action|Thriller|Adventure,1977,79151182.7165477,43173372.3908442
0.191541,810000,1258000,The Last Wave,Peter Weir,106,Drama|Thriller|Mystery,1977,2914202.63638198,4526008.5389735
0.078067,0,41687243,"Oh, God!",Carl Reiner,98,Fantasy|Comedy,1977,0.0,149981572.165551
0.288587,1500000,0,3 Women,Robert Altman,124,Drama,1977,5396671.54885552,0.0
0.164123,500000,17000000,Kingdom of the Spiders,John 'Bud' Cardos,97,Horror|Science Fiction,1977,1798890.51628517,61162277.5536959
0.16331500000000002,0,0,The Car,Elliot Silverstein,96,Horror|Mystery,1977,0.0,0.0
0.17565699999999898,1200000,9000000,Wizards,Ralph Bakshi,80,Animation|Fantasy|Science Fiction,1977,4317337.23908442,32380029.2931331
0.15041,0,0,Rollercoaster,James Goldstone,119,Action|Thriller,1977,0.0,0.0
0.137351,230000,25000000,The Hills Have Eyes,Wes Craven,89,Horror,1977,827489.63749118,89944525.8142588
0.24469,0,0,Demon Seed,Donald Cammell,94,Horror|Science Fiction,1977,0.0,0.0
0.125508999999999,600000,0,The Kentucky Fried Movie,John Landis,83,Comedy,1977,2158668.61954221,0.0
